N,Triton,Torch
16.000000,0.011264,0.012288
32.000000,0.012288,0.023552
64.000000,0.014336,0.023552
128.000000,0.019456,0.024576
256.000000,0.028672,0.031744
512.000000,0.048128,0.045056
1024.000000,0.090112,0.096256
2048.000000,0.224256,0.338944
4096.000000,0.900096,2.069504
8192.000000,3.212800,9.177088
16384.000000,11.222015,39.592960
32768.000000,41.924606,151.422974
