N,Triton,Torch
16.000000,0.011264,0.012288
32.000000,0.012288,0.024576
64.000000,0.015360,0.024576
128.000000,0.019456,0.024576
256.000000,0.029696,0.031744
512.000000,0.049152,0.045056
1024.000000,0.090112,0.112640
2048.000000,0.222208,0.328704
4096.000000,0.890880,2.043904
8192.000000,3.134464,8.844288
16384.000000,11.121152,39.031807
32768.000000,41.306625,141.892609
